,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
577,GX35_33,2,01_AE,<12mo,CCR5,CHINA,2008.0,GU475023,GX35.33,Yes,,panel,01_AE.CN.2008.GX35_33.GU475023,3.21,3.21: Nie2020
578,GX43_2,3,08_BC,,CCR5,CHINA,,HQ326142,GX43-2,Yes,,panel,08_BC.CN..GX43_2.HQ326142,1.63,1.63: Nie2020
579,GX45_57,2,07_BC,,CCR5,CHINA,,HQ326143,GX45-57,Yes,,panel,07_BC.CN..GX45_57.HQ326143,1.22,1.22: Nie2020
580,GX54_6,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475045,GX54.6,Yes,,panel,01_AE.CN.2007.GX54_6.GU475045,8.35,8.35: Nie2020
581,GX68_5,3,01_AE,<12mo,CCR5,CHINA,2008.0,GU475044,GX68.5,Yes,,panel,01_AE.CN.2008.GX68_5.GU475044,2.64,2.64: Nie2020
582,GX71_18,1,01_AE,<12mo,CCR5,CHINA,2008.0,GU475016,GX71.18,Yes,,panel,01_AE.CN.2008.GX71_18.GU475016,6.96,6.96: Nie2020
583,GX72_27,3,01_AE,<12mo,CCR5,CHINA,2008.0,GU475035,GX72.27,Yes,,panel,01_AE.CN.2008.GX72_27.GU475035,2.07,2.07: Nie2020
584,GX73_29,3,01_AE,<12mo,CXCR4,CHINA,2008.0,GU475038,GX73.29,Yes,,panel,01_AE.CN.2008.GX73_29.GU475038,0.65,0.65: Nie2020
585,GX74_20,2,01_AE,<12mo,CCR5,CHINA,2008.0,GU475021,GX74.20,Yes,,panel,01_AE.CN.2008.GX74_20.GU475021,1.77,1.77: Nie2020
586,GX75_20,2,08_BC,,CCR5,CHINA,,HQ326144,GX75-20,Yes,,panel,08_BC.CN..GX75_20.HQ326144,3.06,3.06: Nie2020
587,GX79_7,2,07_BC,,CCR5,CHINA,,HQ326145,GX79-7,Yes,,panel,07_BC.CN..GX79_7.HQ326145,0.97,0.97: Nie2020
588,GX81_43,1,01_AE,<12mo,CCR5,CHINA,2008.0,GU475014,GX81.43,Yes,,panel,01_AE.CN.2008.GX81_43.GU475014,3.69,3.69: Nie2020
