,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
135,0.13,0.029,0.008,100.0,100.0,0.199,100.0,27.9,0.092,16.84
136,0.06,0.032,100.0,100.0,100.0,100.0,100.0,100.0,0.294,0.75594
137,0.1,100.0,100.0,100.0,100.0,0.659,100.0,1.03551,0.016,6.24352
138,0.16,100.0,100.0,1.30471,100.0,0.018,100.0,1.32003,0.377,2.07207
139,0.24,100.0,100.0,0.4,100.0,0.016,100.0,1.95,0.265,1.71811
140,0.10237,100.0,100.0,0.2,100.0,0.373,100.0,50.0,0.187,7.60343
141,2.14576,100.0,0.148,100.0,100.0,0.012,100.0,50.0,0.09,0.54854
142,20.0,100.0,0.512,100.0,100.0,0.501,0.409,42.4752,0.172,2.90226
143,20.0,0.15,0.154,100.0,50.0,0.051,0.335,100.0,0.2019999999999999,1.51486
144,0.43994,0.243,0.175,50.0,50.0,100.0,0.469,100.0,0.27,3.3725
145,0.02,0.148,0.069,50.0,100.0,0.009,0.392,100.0,0.186,0.5584
146,28.004,0.203,0.036,1.9,100.0,0.637,0.44,100.0,0.1369999999999999,0.27322
147,0.10807,0.284,100.0,50.0,0.67071,0.137,0.31,0.9,0.282,0.7
148,0.02,100.0,100.0,15.5552,100.0,2.728,0.348,11.1,0.031,17.6
149,0.35,100.0,0.217,3.9,50.0,0.043,0.429,36.33,0.07,2.89
150,20.0,100.0,100.0,50.0,100.0,0.132,0.42,3.59,0.347,1.51
151,20.0,100.0,0.245,50.0,50.0,0.184,0.328,100.0,0.0139999999999999,13.59
152,20.0,100.0,100.0,50.0,46.89,1.125,0.34,0.8,0.306,0.2
153,20.0,0.019,0.067,50.0,100.0,0.129,0.159,100.0,0.125,11.69
154,0.32076,0.008,0.066,50.0,100.0,0.576,2.449,100.0,0.314,17.63
155,50.0,0.008,0.016,100.0,100.0,0.61,0.13,100.0,0.015,1.28237
156,50.0,0.014,0.012,0.12119,9.50406,0.202,0.274,100.0,0.588,0.62554
157,50.0,0.014,0.012,100.0,100.0,0.048,0.108,100.0,0.256,16.81
158,50.0,100.0,0.011,16.7893,50.0,0.012,0.133,100.0,0.432,10.83
159,50.0,100.0,100.0,8.18804,2.2,0.018,0.185,0.80759,0.212,2.65832
160,20.0,100.0,100.0,100.0,46.25,0.071,0.153,0.2,0.456,2.0
161,1.11,100.0,100.0,100.0,100.0,0.074,100.0,0.7,0.441,35.9
162,20.0,100.0,100.0,2.1,100.0,0.048,100.0,100.0,0.726,13.2464
163,20.0,100.0,100.0,9.32,2.1,0.037,100.0,12.4,0.281,4.7163
164,20.0,100.0,100.0,100.0,100.0,0.095,100.0,14.3173,0.583,0.7
165,20.0,100.0,0.027,50.0,100.0,0.036,100.0,7.62,0.805,20.6
166,20.0,100.0,0.041,100.0,100.0,0.005,100.0,50.0,1.7719999999999998,1.1
167,0.14,0.006,0.023,100.0,29.3226,0.001,100.0,50.0,0.3989999999999999,14.4
168,2.79,0.006,0.072,100.0,100.0,0.006,100.0,1.9,0.12,10.2658
169,0.14,0.006,0.06,13.9234,100.0,0.001,100.0,11.2,0.076,14.0
170,0.026268,0.005,100.0,100.0,100.0,0.54,100.0,100.0,0.368,5.8
171,100.0,0.009,5.232,100.0,100.0,0.28,100.0,100.0,0.355,13.2
172,0.059799,100.0,100.0,13.8,100.0,0.175,0.153,50.0,0.293,17.1
173,0.12255,100.0,100.0,100.0,100.0,0.167,0.12,50.0,0.155,8.4
174,0.03,100.0,100.0,100.0,100.0,0.146,0.159,50.0,0.741,14.0
175,1.86515,100.0,0.007,0.99531,100.0,0.123,0.002,50.0,0.161,36.98
176,20.0,100.0,0.004,0.061479,50.0,0.15,0.011,50.0,0.05,3.19628
177,20.0,0.054,0.003,50.0,2.5,0.288,100.0,100.0,0.004,2.31033
178,0.15,0.054,0.005,50.0,50.0,0.195,1.591,18.6224,0.0289999999999999,2.05927
179,50.0,0.037,0.004,50.0,50.0,0.183,100.0,4.51789,0.005,12.8293
180,0.025883,0.054,45.41,29.2,100.0,6.836,0.016,2.4,2.468,1.4
181,0.26,0.046,100.0,50.0,100.0,0.035,0.994,41.8913,0.526,1.28746
182,20.0,100.0,25.626,100.0,50.0,0.034,100.0,100.0,0.613,2.0
183,0.044233,100.0,100.0,50.0,50.0,0.04,13.019,3.34391,0.4039999999999999,100.0
184,0.13,100.0,100.0,50.0,50.0,0.042,100.0,4.3,0.509,3.22
185,20.0,100.0,100.0,50.0,50.0,0.048,0.001,100.0,0.5589999999999999,4.65339
186,0.0048874,100.0,2.903,50.0,50.0,0.043,0.006,100.0,0.537,2.87283
187,20.0,100.0,100.0,50.0,100.0,0.355,100.0,6.7401,1.6,1.32
188,0.019084,0.025,2.38,50.0,100.0,0.04,2.262,6.99143,0.713,6.73302
189,50.0,0.053,0.002,50.0,100.0,0.033,46.913,100.0,0.605,6.91632
190,0.03,0.032,0.005,0.1273,100.0,0.043,0.061664,100.0,0.204,1.6
191,10.02,0.026,0.006,50.0,1.65479,0.226,50.0,3.80749,0.166,31.6
192,5.86268,100.0,0.003,50.0,100.0,0.243,0.015,100.0,0.21,4.5
193,0.36,100.0,0.004,11.7,100.0,0.228,18.207,100.0,0.142,1.62189
194,1.11,0.044,0.064,100.0,100.0,0.215,0.027,3.4,0.158,6.03298
195,0.42,100.0,0.03,100.0,100.0,0.184,0.003,3.7728,0.149,0.81479
196,0.6,0.001,0.024,100.0,100.0,0.303,100.0,100.0,0.281,2.32403
197,0.58,0.007,0.006,0.14727,50.0,0.35,100.0,100.0,0.2289999999999999,1.58
198,0.24,0.002,0.067,1.71308,1.9616,0.241,0.299,0.83553,0.316,7.0
199,7.5,0.057,0.012,50.0,100.0,0.098,0.12,0.71,0.155,0.040509
200,0.14175,0.001,0.01,50.0,100.0,0.017,0.024,3.48,0.156,2.7
201,0.18,100.0,0.008,100.0,100.0,0.057,0.033,0.46844,1.075,100.0
202,0.02,100.0,0.007,100.0,100.0,0.171,0.034,1.3,0.843,0.9
203,0.05,100.0,0.013,100.0,100.0,0.072,0.007,0.8,0.6559999999999999,50.0
204,20.0,100.0,100.0,0.48292,100.0,0.197,0.015,100.0,0.6729999999999999,50.0
205,20.0,100.0,100.0,80.0,4.9687,0.017,0.015,1.7,0.653,50.0
206,0.11294,100.0,100.0,100.0,100.0,0.035,0.015,50.0,0.889,50.0
207,0.10219,100.0,100.0,50.0,0.37684,0.048,0.02,50.0,0.04,50.0
208,2.67,100.0,100.0,50.0,27.1359,0.04,0.02,50.0,0.8240000000000001,17.76
209,0.03,100.0,100.0,17.7,50.0,0.017,0.02,50.0,0.642,0.31833
210,20.0,0.005,0.013,50.0,50.0,0.03,0.024,50.0,0.146,50.0
211,0.01,0.196,0.021,50.0,50.0,0.04,0.028,50.0,0.474,50.0
212,0.40011,0.053,0.018,100.0,0.8,0.011,0.0074406,50.0,1.085,2.8
213,0.19626,40.0,0.015,50.0,50.0,40.0,0.001,50.0,0.408,29.5
214,100.0,40.0,9.092,100.0,100.0,0.366,0.659,5.0,0.57,15.9
215,0.19,8.535,1.539,100.0,50.0,0.303,3.329,100.0,0.075,49.1
216,0.63274,40.0,0.013,100.0,50.0,0.13,0.208,100.0,0.212,1.44257
217,100.0,0.611,1.034,1.67302,50.0,0.175,1.251,100.0,0.108,9.73688
218,1.74453,0.108,0.001,28.0964,50.0,0.192,0.563,100.0,0.292,50.0
219,100.0,0.006,0.028,100.0,50.0,40.0,100.0,0.24268,0.156,50.0
220,20.0,0.58,0.013,31.5,50.0,40.0,2.451,50.0,0.284,6.11941
221,100.0,4.152,0.089,100.0,50.0,0.335,100.0,50.0,0.5760000000000001,23.5
222,20.0,40.0,0.003,100.0,0.3955,18.336,1.034,100.0,0.111,10.8355
223,200.0,100.0,15.914,0.17386,50.0,40.0,1.401,100.0,20.0,0.0049878
224,0.25911,0.551,100.0,100.0,50.0,40.0,0.522,9.5,0.16,0.13128
225,0.042421,0.12042,31.837,15.7312,0.3,0.157,100.0,0.13913,0.54,100.0
226,0.06723,0.043,100.0,100.0,29.6,0.401,100.0,100.0,0.4,0.72453
227,20.0,40.0,38.602,100.0,100.0,40.0,100.0,100.0,1.01,3.3
228,0.027378,40.0,100.0,100.0,100.0,0.34696,100.0,0.39612,0.39,2.06338
229,0.015483,40.0,100.0,4.48191,1.84138,5.812,100.0,2.9,20.0,8.5769
230,100.0,0.925,100.0,100.0,2.64393,1.073,0.001,3.7,20.0,0.34393
231,0.0091678,0.015,100.0,100.0,8.77,0.165,0.001,12.8,1.72,7.59305
232,100.0,0.016,0.0075595,0.84853,50.0,1.025,0.0033969,50.0,0.4,8.02
233,0.06,0.004,0.48794,19.62,100.0,15.496,0.0064622,100.0,20.0,3.37306
234,0.01,0.001,3.41732,14.4,100.0,0.089,0.0034461,2.26,20.0,18.039
235,0.02259,0.003,1.37454,50.0,100.0,1.582,0.00678,6.57744,1.1,4.15532
236,0.44,0.001,40.0,50.0,100.0,6.983,0.0043621,100.0,0.7240000000000001,0.295
237,100.0,0.001,4.502,100.0,2.0466,42.495,0.0060313,11.2,20.0,0.485
238,0.0096583,100.0,40.0,50.0,100.0,0.601,0.48756,0.649,16.9076,0.737
239,1.97,100.0,0.69214,11.1707,50.0,3.646,0.0045608,1.959,20.0,0.073
240,2.92606,100.0,0.048578,21.2,50.0,1.04,0.0043836,0.277,5.27,0.39203
241,0.002,100.0,0.050538,8.9,50.0,0.019,0.012482,0.061,0.31,11.8529
242,0.03,100.0,1.359,50.0,0.6,0.065,0.87647,3.25927,20.0,8.031
243,0.31,100.0,0.12936,50.0,50.0,0.049,0.062,30.9839,3.08,10.5066
244,0.046883,100.0,40.0,24.0,100.0,0.038,0.376,11.2,0.14,13.8
245,0.16,100.0,100.0,50.0,15.4915,0.075,0.022,20.3032,9.77,0.934
246,0.02,100.0,1.14334,6.5512,100.0,0.064,0.213,11.6,0.44,0.85372
247,3.27,10.0,1.12438,50.0,100.0,0.053,0.005,100.0,0.28,1.05
248,20.0,20.0,0.076994,41.3,2.3767,0.081,0.011082,0.219,0.34606,3.00785
249,0.14,0.023,40.0,100.0,100.0,0.087,0.64784,0.33,0.109,100.0
250,0.14,0.01,40.0,100.0,100.0,0.0465,100.0,100.0,20.0,6.74091
251,100.0,0.101,40.0,100.0,100.0,0.24429,0.048,100.0,8.41,1.63725
252,0.05,0.152,0.003,50.0,100.0,0.027,0.036,100.0,0.045162,1.24897
253,0.18,0.032,0.00171,50.0,100.0,0.015,0.065,100.0,100.0,14.5
254,50.0,0.009,0.016327,50.0,100.0,0.034,0.042,0.1,0.28658,14.3
